Nodes,Studio,Betweenness
Chris Sanders,Disney,11726.13354
Brenda Chapman,Disney,10058.59584
Bonnie Arnold,Disney,9970.379224
Charles Perrault,Disney,9001.027013
Ted Elliott,Disney,6936.972816
Terry Rossio,Disney,6936.972816
Rob Minkoff,Disney,6709.279702
Kelly Asbury,Disney,5698.903801
Karey Kirkpatrick,Disney,4952.832562
Lorna Cook,Disney,4952.325023
William Joyce,Disney,4376.15478
Bradford Lewis,Pixar,4339.982591
Philip LaZebnik,Disney,4063.046534
Dean DeBlois,Disney,3768.98672
Kristina Reed,Disney,3584.566109
Kendra Haaland,Disney,2659.799661
Jim Cox,Disney,2293.621165
Michael Lucker,Disney,1612.436745
Lorne Cameron,Disney,1404.856441
David Hoselton,Disney,1404.856441
